date,start,finish,state
"2020-08-30",18870,19440,"deep"
"2020-08-30",19440,20460,"light"
"2020-08-30",20460,21480,"wake"
"2020-08-30",21480,22170,"light"
"2020-08-30",22170,22470,"rem"
"2020-08-30",22470,22500,"light"
"2020-08-30",22500,25320,"deep"
"2020-08-30",25320,25680,"light"
"2020-08-30",25680,25980,"rem"
"2020-08-30",25980,27030,"light"
"2020-08-30",27030,27360,"deep"
"2020-08-30",27360,31350,"light"
"2020-08-30",31350,33120,"rem"
"2020-08-30",33120,33660,"light"
"2020-08-30",33660,33960,"rem"
"2020-08-30",33960,34770,"light"
"2020-08-30",34770,37920,"rem"
"2020-08-31",4110,4560,"wake"
"2020-08-31",4560,4860,"light"
"2020-08-31",4860,5220,"wake"
"2020-08-31",5220,5700,"light"
"2020-08-31",5700,6870,"deep"
"2020-08-31",6870,7680,"light"
"2020-08-31",7680,8550,"wake"
"2020-08-31",8550,9240,"light"
"2020-08-31",9240,10830,"rem"
"2020-08-31",10830,12900,"deep"
"2020-08-31",12900,13260,"wake"
"2020-08-31",13260,13380,"light"
"2020-08-31",13380,15840,"deep"
"2020-08-31",15840,23610,"light"
"2020-08-31",23610,24600,"rem"
"2020-08-31",24600,24660,"light"
"2020-08-31",24660,25560,"wake"
"2020-08-31",25560,27930,"light"
"2020-08-31",27930,28230,"wake"
"2020-08-31",28230,30270,"light"
"2020-08-31",30270,30480,"wake"
"2020-08-31",30480,32400,"light"
"2020-08-31",32400,38490,"rem"
"2020-08-31",38490,38820,"light"
"2020-08-31",38820,39810,"rem"
"2020-09-01",10500,10800,"restless"
"2020-09-01",10800,14220,"asleep"
"2020-09-01",18420,18960,"wake"
"2020-09-01",18960,19680,"light"
"2020-09-01",19680,20610,"deep"
"2020-09-01",20610,21210,"light"
"2020-09-01",21210,22470,"deep"
"2020-09-01",22470,23010,"light"
"2020-09-01",23010,24000,"rem"
"2020-09-01",24000,24690,"light"
"2020-09-01",24690,26220,"rem"
"2020-09-01",26220,28410,"light"
"2020-09-01",28410,28740,"rem"
"2020-09-01",28740,29490,"light"
"2020-09-01",29490,29850,"wake"
"2020-09-01",29850,36030,"light"
"2020-09-01",36030,37860,"deep"
"2020-09-02",10320,10620,"restless"
